CustomerKey,MaritalStatus,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,BikeBuyer,YearlyIncome,Age
11000,M,M,2,0,Bachelors,Professional,1,0,1-2 Miles,Pacific,1,90000,43
11001,S,M,3,3,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,60000,38
11002,M,M,3,3,Bachelors,Professional,1,1,2-5 Miles,Pacific,1,60000,44
11003,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,70000,41
11004,S,F,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,1,80000,35
11005,S,M,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,70000,38
11006,S,F,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,70000,38
11007,M,M,3,3,Bachelors,Professional,1,2,0-1 Miles,Pacific,1,60000,45
11008,S,F,4,4,Bachelors,Professional,1,3,10+ Miles,Pacific,1,60000,39
11009,S,M,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,70000,45
11010,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,70000,45
11011,M,M,4,4,Bachelors,Professional,1,4,10+ Miles,Pacific,1,60000,45
11012,M,F,2,0,Bachelors,Management,1,2,1-2 Miles,North America,0,100000,36
11013,M,M,2,0,Bachelors,Management,1,3,0-1 Miles,North America,0,100000,35
11014,S,F,3,0,Bachelors,Management,0,3,1-2 Miles,North America,0,100000,41
11015,S,F,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,1,30000,30
11016,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,30000,30
11017,S,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,20000,65
11018,S,M,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,30000,59
11019,S,M,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,0,40000,31
11020,S,M,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,1,40000,31
11021,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,40000,31
11022,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,40000,30
11023,M,M,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,0,40000,30
11024,M,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,60000,31
11025,M,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,10000,63
11026,S,M,2,0,Partial College,Clerical,0,2,1-2 Miles,Pacific,1,30000,63
11027,M,M,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,30000,62
11028,M,F,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,1,30000,63
11029,M,M,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,1,30000,62
11030,M,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,10000,57
11031,M,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,1,20000,62
11032,M,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,1,20000,62
11033,M,M,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,20000,56
11034,M,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,20000,62
11035,M,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,10000,61
11036,M,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,60000,30
11037,S,F,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,1,40000,31
11038,M,F,2,1,Partial High School,Clerical,1,2,5-10 Miles,Pacific,1,10000,61
11039,M,M,3,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,30000,60
11040,M,M,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,30000,32
11041,M,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,60000,31
11042,M,F,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,North America,1,70000,32
11043,M,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,60000,33
11044,M,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,20000,60
11045,S,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,0,30000,59
11046,M,F,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,30000,59
11047,M,F,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,30000,59
11048,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,30000,58
11049,S,F,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,0,40000,29
11050,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,30000,58
11051,S,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,0,30000,58
11052,S,F,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,1,40000,58
11053,M,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,1,60000,29
11054,M,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,40000,57
11055,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,40000,57
11056,M,F,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,40000,56
11057,M,M,2,0,Graduate Degree,Management,1,2,1-2 Miles,Pacific,1,70000,44
11058,M,M,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,Pacific,1,80000,49
11059,S,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,80000,55
11060,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,80000,55
11061,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,80000,39
11062,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,40000,34
11063,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,40000,34
11064,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,40000,33
11065,M,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,0,60000,35
11066,M,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,70000,35
11067,S,M,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,60000,32
11068,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,80000,48
11069,S,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,80000,48
11070,M,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,80000,54
11071,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,80000,54
11072,S,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,80000,54
11073,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,70000,53
11074,S,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,70000,53
11075,S,F,2,0,High School,Professional,1,2,5-10 Miles,Pacific,1,80000,51
11076,S,M,2,0,High School,Professional,1,2,5-10 Miles,Pacific,1,80000,52
11077,S,F,2,0,High School,Professional,0,2,1-2 Miles,Pacific,1,80000,52
11078,S,F,0,0,High School,Professional,0,2,1-2 Miles,North America,0,40000,30
11079,S,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,0,160000,45
11080,M,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,1,170000,50
11081,M,F,2,2,Bachelors,Management,1,3,2-5 Miles,North America,0,120000,43
11082,S,F,0,1,Graduate Degree,Management,0,3,1-2 Miles,North America,1,130000,43
11083,M,F,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,1,130000,38
11084,S,M,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,North America,1,80000,52
11085,S,F,2,0,High School,Professional,0,2,5-10 Miles,North America,0,60000,52
11086,M,M,2,1,Partial College,Professional,1,0,0-1 Miles,North America,0,70000,51
11087,M,F,3,2,Partial College,Professional,0,0,0-1 Miles,North America,0,70000,51
11088,M,M,2,1,Bachelors,Management,1,0,2-5 Miles,North America,1,80000,51
11089,S,F,2,1,Bachelors,Management,1,1,2-5 Miles,North America,1,80000,52
11090,S,M,2,0,Partial College,Professional,1,1,2-5 Miles,North America,1,90000,46
11091,M,M,2,0,Partial College,Professional,1,1,5-10 Miles,North America,0,90000,52
11092,M,F,2,2,Bachelors,Professional,1,0,1-2 Miles,Pacific,1,90000,42
11093,M,F,0,0,Graduate Degree,Management,1,0,0-1 Miles,Pacific,1,100000,36
11094,S,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,70000,47
11095,S,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,70000,47
11096,M,M,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,60000,47
11097,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,60000,42
11098,S,F,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,60000,48
11099,M,M,1,0,Bachelors,Professional,1,1,0-1 Miles,Pacific,1,60000,48
11100,S,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,60000,49
11101,S,F,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,70000,44
11102,S,F,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,0,80000,44
11103,S,F,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,70000,33
11104,M,M,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,70000,40
11105,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,70000,44
11106,S,M,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,70000,45
11107,M,F,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,90000,39
11108,S,F,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,1,70000,46
11109,S,M,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,1,70000,34
11110,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,60000,47
11111,M,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,60000,47
11112,M,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,60000,47
11113,M,M,5,4,Bachelors,Professional,1,2,5-10 Miles,Pacific,0,70000,42
11114,S,F,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,70000,47
11115,M,M,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,Pacific,0,70000,47
11116,M,M,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,70000,35
11117,M,F,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,1,70000,48
11118,S,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,80000,52
11119,S,M,2,0,Partial College,Clerical,0,2,0-1 Miles,Pacific,0,30000,74
11120,S,F,2,0,Bachelors,Management,1,1,5-10 Miles,Pacific,1,40000,73
11121,M,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,70000,48
11122,M,M,5,4,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,0,70000,49
11123,M,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,70000,49
11124,S,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,80000,46
11125,S,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,0,70000,53
11126,M,M,2,1,High School,Skilled Manual,0,2,0-1 Miles,Pacific,1,10000,60
11127,M,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,40000,33
11128,M,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,40000,33
11129,S,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,1,40000,34
11130,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,30000,29
11131,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,30000,29
11132,S,F,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,1,30000,28
11133,S,F,0,0,Partial High School,Clerical,0,2,0-1 Miles,North America,0,30000,29
11134,S,M,5,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,10000,58
11135,S,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,1,30000,29
11136,S,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,40000,30
11137,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,40000,31
11138,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,40000,31
11139,S,F,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,0,30000,65
11140,S,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,0,30000,32
11141,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,40000,32
11142,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,40000,32
11143,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,40000,32
11144,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,40000,30
11145,S,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,40000,29
11146,S,F,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,40000,70
11147,M,M,2,0,Graduate Degree,Management,1,1,0-1 Miles,Pacific,1,60000,70
11148,M,M,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,40000,68
11149,M,M,2,0,Bachelors,Management,1,2,0-1 Miles,Pacific,0,40000,68
11150,S,M,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,40000,68
11151,S,F,2,0,Graduate Degree,Management,0,1,0-1 Miles,Pacific,1,60000,67
11152,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,40000,33
11153,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,40000,33
11154,S,F,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,40000,33
11155,S,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,40000,33
11156,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,40000,33
11157,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,40000,34
11158,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,40000,33
11159,S,F,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,0,40000,34
11160,S,M,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,1,40000,35
11161,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,40000,35
11162,S,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,40000,35
11163,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,0,40000,34
11164,S,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,40000,35
11165,M,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,60000,36
11166,S,F,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,0,70000,37
11167,S,F,0,0,Bachelors,Management,0,1,0-1 Miles,North America,1,80000,37
11168,S,M,0,0,Bachelors,Management,0,1,0-1 Miles,North America,1,80000,41
11169,M,M,4,4,Bachelors,Management,1,1,0-1 Miles,North America,0,90000,41
11170,M,F,4,4,Bachelors,Management,1,1,0-1 Miles,North America,0,90000,41
11171,S,M,1,0,Bachelors,Management,1,2,1-2 Miles,North America,1,100000,36
11172,M,F,1,0,Bachelors,Management,1,2,1-2 Miles,North America,0,100000,41
11173,S,F,0,0,Graduate Degree,Management,0,4,0-1 Miles,North America,0,110000,42
11174,M,M,0,1,Graduate Degree,Management,1,0,2-5 Miles,North America,0,110000,42
11175,S,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,1,70000,46
11176,M,M,4,4,Bachelors,Management,1,1,1-2 Miles,North America,0,90000,36
11177,M,M,2,4,Graduate Degree,Management,1,2,5-10 Miles,North America,0,110000,67
11178,M,M,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,0,100000,60
11179,M,F,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,0,120000,55
11180,M,F,1,3,Bachelors,Management,1,4,0-1 Miles,North America,0,160000,66
11181,M,M,2,3,Graduate Degree,Management,1,2,0-1 Miles,North America,0,170000,55
11182,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,65
11183,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,65
11184,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,59
11185,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,64
11186,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,65
11187,M,F,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,0,60000,65
11188,M,F,4,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,60000,65
11189,S,M,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,1,60000,65
11190,M,M,5,0,Bachelors,Management,1,2,10+ Miles,North America,0,70000,65
11191,S,F,5,0,Bachelors,Management,1,3,10+ Miles,North America,1,70000,63
11192,M,M,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,60000,64
11193,M,M,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,60000,64
11194,M,F,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,60000,64
11195,M,F,5,0,Bachelors,Management,1,3,10+ Miles,North America,0,60000,63
11196,M,M,5,0,Bachelors,Management,1,3,10+ Miles,North America,0,60000,63
11197,M,F,3,1,Bachelors,Management,0,1,1-2 Miles,North America,0,70000,63
11198,S,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,70000,62
11199,M,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,70000,57
11200,M,M,4,1,Bachelors,Management,1,1,1-2 Miles,North America,0,70000,61
11201,M,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,70000,62
11202,M,F,5,0,Bachelors,Management,0,2,1-2 Miles,North America,0,80000,56
11203,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,40000,55
11204,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,40000,61
11205,M,F,2,1,High School,Professional,1,2,10+ Miles,North America,0,40000,61
11206,M,M,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,60000,60
11207,S,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,60000,61
11208,M,F,2,1,Bachelors,Management,1,0,10+ Miles,North America,0,60000,61
11209,M,F,2,1,Bachelors,Management,1,0,10+ Miles,North America,0,60000,61
11210,M,M,4,1,Partial College,Professional,1,2,10+ Miles,North America,0,70000,61
11211,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,40000,54
